NIT,FRACASO,ACTIVOS,TAMA¥O,TIPO.COMERCIO,REGION,ZONA,B11,B12,B13,B14,B21,B22,B23,B24,B31,B32,B33,B41,B42,B43,B44,B51,B52,B53,B61,B62,B63,B64,B65,B66,B67,B68,B69,B610,B611,A1,A2,A3,A4,A5
800004663,0,14885.9068,MEDIANA,POR MAYOR,SANTANDER,OTRAS,0.002846949,0.004261624,0.006900854,0.011142963,0.058600658,0.087719859,0.142044899,0.229363081,0.382449777,0,0.382449777,0.071572752,0.341701788,0.964164733,0.581714956,0.187142877,0.893455321,2.521023129,0.047813692,0.180457874,0.415832157,0.228271566,0.644103723,0.388610739,0.412550246,0.66804323,0.155338849,0.741616905,-0.088437925,0.581714956,0.303567391,0.137842123,1.614722405,1.496909114
800004711,0,3860.370874,PEQUE¥A,POR MENOR,ANTIOQUIA,OTRAS,0.000155652,0.000556029,0.001328399,0.000956315,0.017330647,0.061909452,0.147906744,0.106478069,0.571843245,0.0095859,0.581429145,0.038413852,0.732500585,0.912673133,0.340829889,0.067175493,1.280946469,1.596019787,0.010753397,0.179051902,0.050436674,0.205052841,0.255489515,0.09541035,0.117172798,0.279935396,0.058950836,1.080066475,0.202501855,0.340829889,0.110984269,0.111336645,0.719900024,3.572252793
800005009,0,6729.091262,MEDIANA,POR MAYOR,BOGOTA D.C.,CAPITAL,-0.0244111,-0.025933993,-0.043016195,-0.065306668,0.038145061,0.04052475,0.067217592,0.102048938,0.361998733,0.035112214,0.397110947,0.02830056,0.263171285,0.618735039,0.256736306,0.078178615,0.726995044,1.709218796,0.026638698,0.221078675,0.334684382,0.247717372,0.582401755,0.241660267,0.567486275,0.941278121,0.068508209,0.637068439,-0.239235251,0.256736306,0.245465415,0.0536945,1.518187948,1.062385259
800005045,0,1509.209709,PEQUE¥A,POR MENOR,BOGOTA D.C.,CAPITAL,-0.018536158,-0.067218406,-0.231515383,-0.094719303,0.017635921,0.063953842,0.220271484,0.090119115,0.447565873,0.262093134,0.709659006,0.012638275,0.370379913,0.382307043,-0.06525883,0.028237799,0.827542794,0.854191676,0.003485133,0.098638179,0.003289027,0.102136019,0.105425046,-0.017995784,0.080064475,0.275760147,0.024633418,0.721822224,-0.150533925,-0.06525883,0.030415858,0.09820716,0.40912747,3.626339812
800005972,0,4953.357282,PEQUE¥A,POR MENOR,BOGOTA D.C.,CAPITAL,0.013121423,0.030091091,0.059592271,0.060783889,0.052515737,0.120433269,0.238505545,0.243274743,0.495050442,0,0.495050442,0.105086359,0.66187326,0.87818358,0.383133138,0.212274042,1.336981454,1.773927474,0.045823614,0.242790674,0.09432357,0.288614288,0.382937858,0.167067782,0.220186652,0.436056727,0.255415672,1.608703601,0.405468062,0.383133138,0.16910754,0.179750982,1.019996176,2.293279606
800006911,0,9711.479612,MEDIANA,POR MENOR,ANTIOQUIA,OTRAS,-0.013794605,-0.023349264,-0.042918078,-0.051209314,0.05768714,0.097643412,0.179477501,0.21415031,0.455957369,0,0.455957369,0.152210832,0.684152732,0.734830318,0.278872949,0.333826893,1.500475217,1.611620666,0.089925243,0.280157131,0.029940013,0.404193313,0.434133325,0.164756459,0.321417109,0.590793976,0.287552678,1.289461453,0.428078851,0.278872949,0,0.155035103,1.193187498,1.692637435
800007238,0,2551.854369,PEQUE¥A,POR MAYOR,VALLE,OTRAS,-0.033082784,-0.039769188,-0.051474862,-0.174882163,0.067395492,0.081016883,0.104863414,0.356265954,0.227405629,0,0.227405629,0.038051123,0.709458389,0.935685267,0.708279637,0.167327094,3.119792553,4.114609079,0.031653577,0.191303148,0.18819129,0.590176952,0.778368242,0.589196384,0.642697864,0.831869721,0.133216203,2.483799308,1.687656851,0.708279637,0.630915716,0.122024405,3.397428521,1.20211131
800007359,0,5911.471845,MEDIANA,POR MENOR,ANTIOQUIA,OTRAS,0.02800128,0.068550046,0.162932628,0.118337929,0.014422167,0.035306966,0.083919078,0.060950406,0.579273672,0,0.579273672,0.086133591,0.415156925,0.904533958,0.325260286,0.148692398,0.7166853,1.561496754,0.035183795,0.131178038,0.199900423,0.169583039,0.369483462,0.132862117,0.171858026,0.408479371,0.172519321,0.816781681,-0.343461362,0.325260286,0.08198569,0.057619615,0.72629976,2.448104044
800007370,0,4419.114563,PEQUE¥A,POR MAYOR,BOGOTA D.C.,CAPITAL,0.027284593,0.089542551,0.26088441,0.136337121,0.009591838,0.031478484,0.091713331,0.04792901,0.656773084,0,0.656773084,0.186091701,0.873740218,0.967173383,0.3104003,0.283342459,1.330353267,1.472614222,0.056704173,0.19916919,0.028470106,0.266238182,0.294708288,0.09458236,0.104584988,0.304710916,0.352064424,1.588664534,0.346124234,0.3104003,0.157011987,0.060080391,0.522595894,3.281799064
800007983,0,14009.84078,MEDIANA,POR MENOR,VALLE,OTRAS,0.055299217,0.090708319,0.3934184,0.11788944,0.004417807,0.00724661,0.031429861,0.009418087,0.769435493,0,0.769435493,0.166126553,0.545577905,0.958914192,0.1894787,0.215907057,0.709062566,1.24625677,0.10127702,0.165424358,0.251985409,0.332604892,0.584590301,0.11551337,0.14056083,0.609637761,0.635241342,2.08620256,-0.855995577,0.1894787,0,0.015151905,0.299654109,1.640318341
800008467,0,1571.654369,PEQUE¥A,POR MAYOR,BOGOTA D.C.,CAPITAL,-0.006695407,-0.013824213,-0.049002753,-0.019256754,0.017612927,0.036365951,0.12890656,0.050656785,0.216712495,0.50117656,0.717889054,0.019823161,0.530870965,0.66113426,0.444421765,0.091472166,2.44965555,3.050743618,0.009600846,0.247513054,0.063089726,0.2571139,0.320203625,0.21524442,0.136633288,0.48432466,0.027613463,0.73949788,0.437619569,0.444421765,0,0.054276292,0.392972903,2.064730713
800010668,0,10521.08932,MEDIANA,POR MENOR,BOGOTA D.C.,CAPITAL,0.001979983,0.010432759,0.020128659,0.021658376,0.019345453,0.101933404,0.196667317,0.211613437,0.481696271,0,0.481696271,0.042126111,0.293591451,0.583451706,0.101755435,0.087453679,0.609494964,1.211243976,0.007994913,0.044441997,0.055011191,0.055719317,0.110730508,0.019311677,0.098366385,0.189785216,0.091038847,0.597104155,-0.443890898,0.101755435,0.240591411,0.101933404,1.075996973,5.269114337
800010701,0,8398.621359,MEDIANA,POR MAYOR,BOGOTA D.C.,CAPITAL,-0.001121937,-0.001995624,-0.005702944,-0.003069855,0.023819986,0.042369344,0.12107991,0.065176464,0.340492551,0.309578678,0.650071228,0.014582999,0.877405322,0.883373891,0.54288134,0.042829129,2.576870832,2.594400052,0.008198542,0.444950648,0.003355521,0.493276035,0.496631556,0.305207124,0.196729462,0.56219859,0.008923046,0.532499865,0.324159281,0.54288134,0.021816499,0.091361113,0.538292969,1.778730893
800010782,0,1731.073786,PEQUE¥A,POR MAYOR,BOGOTA D.C.,CAPITAL,-0.056073755,-0.065717582,-0.11117945,-0.160715887,0.013464853,0.015780601,0.026697248,0.038592311,0.408905322,0,0.408905322,0.004923187,0.339052431,0.852363057,0.443457735,0.01203992,0.82917099,2.084499789,0.004200727,0.283878471,0.43798408,0.289297668,0.727281748,0.378381858,0.504353594,0.853253485,0.020144989,1.387354829,-0.2858282,0.443457735,0.305492198,0.023555654,1.44555389,1.171984666
800012173,0,15347.49126,MEDIANA,POR MAYOR,BOGOTA D.C.,CAPITAL,-0.042726419,-0.06092047,-0.088797042,-0.194053898,0.055631822,0.079321338,0.115617956,0.25266737,0.187005203,0.126930618,0.31393582,0.048852002,0.924984364,0.997168489,0.810163287,0.261233387,4.946302837,5.332303462,0.03426223,0.61447324,0.050626156,0.648735469,0.699361625,0.568205994,0.481169396,0.701347498,0.312140825,5.910205687,4.715332287,0.810163287,0.539079243,0.128284225,2.185364445,1.425826716
800012240,0,986.4485437,PEQUE¥A,POR MENOR,ANTIOQUIA,OTRAS,-0.001166335,-0.00259878,-0.003953486,-0.007584113,2.59E-05,5.77E-05,8.78E-05,0.000168447,0.142636079,0.200025012,0.342661091,0.017663736,0.058293216,0.083885225,-0.058750854,0.123837786,0.408684928,0.588106639,0.007927501,0.01739264,0.011485717,0.026162048,0.037647766,-0.026367437,0.295014303,0.448800914,0.029455847,0.095455921,-0.142402394,-0.058750854,0.09371414,0.006275003,1.918335426,2.228159456
800012833,0,7833.629126,MEDIANA,POR MENOR,SANTANDER,OTRAS,-0.008085624,-0.022076902,-0.06811739,-0.032663011,0.029959174,0.081800215,0.252391262,0.121024285,0.555993256,0.119905924,0.67589918,0.035548875,0.496053927,0.667473853,0.111480598,0.063937601,0.892194144,1.200507104,0.013019708,0.166323973,0.062782223,0.18167881,0.244461033,0.040829558,0.118701311,0.366248104,0.088447629,1.23421047,-0.14913247,0.111480598,0.054336635,0.081800215,0.479510599,2.730389559
800013617,0,6277.980583,MEDIANA,POR MAYOR,ANTIOQUIA,OTRAS,0.0229329,0.034708898,0.070675273,0.068204283,0.029393634,0.044487206,0.090586151,0.087419024,0.249060916,0.259835248,0.508896164,0.094483929,0.730871124,0.782666022,0.533605106,0.379360721,2.934507493,3.142468256,0.062427522,0.420474426,0.03422198,0.482901948,0.517123928,0.352564134,0.32448265,0.660721066,0.304387587,2.354560194,1.552190393,0.533605106,0.302223471,0.06844177,0.965037412,1.513497982
800013875,0,2243.846602,PEQUE¥A,POR MAYOR,BOGOTA D.C.,CAPITAL,-0.014162477,-0.015737678,-0.042677654,-0.024931246,0.014856253,0.016508618,0.0447683,0.02615255,0.631243136,0,0.631243136,0.010580259,0.344216216,0.989989036,0.3587459,0.016760988,0.545298945,1.568316517,0.009521269,0.297510763,0.581136729,0.309763247,0.890899976,0.32283864,0.331847596,0.899908931,0.038743423,1.249357768,-1.062166005,0.3587459,0.18038305,0.027447148,0.584175642,1.111223553
800014880,0,4281.205825,PEQUE¥A,POR MENOR,BOGOTA D.C.,CAPITAL,0.027502719,0.027378423,0.033121095,0.157906166,0.041350556,0.041163676,0.049797829,0.237413174,0.173384126,0,0.173384126,0.053323314,0.7183791,0.835966839,0.662582713,0.307544385,4.143280679,4.821472746,0.053565399,0.659443631,0.118121579,0.721640493,0.839762073,0.665590794,0.830368654,1.004539933,0.230762328,3.107100434,2.356762144,0.662582713,0.28765188,0.06423714,4.767540671,0.995480585
800015525,0,3227.695146,PEQUE¥A,POR MENOR,BOGOTA D.C.,CAPITAL,-0.000782525,-0.001413373,-0.002655275,-0.003021893,0.064024844,0.115639694,0.217249906,0.247245944,0.467711189,0,0.467711189,0.115240282,0.526289918,0.893517275,0.425806086,0.246391973,1.125245517,1.910403889,0.063803706,0.219539562,0.20331837,0.291384633,0.494703002,0.235750953,0.294705967,0.553658017,0.369371099,1.6868779,0.187758041,0.425806086,0.32112616,0.172088379,1.138071578,1.806169096
800017170,0,1505.819417,PEQUE¥A,POR MENOR,BOGOTA D.C.,CAPITAL,-0.022083291,-0.046479846,-0.064944377,-0.163481249,0.01294661,0.027249401,0.038074467,0.095842961,0.28431301,0,0.28431301,0.052997423,0.401195937,0.987034469,0.702721459,0.186405198,1.411106503,3.471647214,0.025179893,0.149258955,0.278340917,0.190614374,0.468955292,0.333873798,0.340033922,0.475115416,0.088741764,0.614776693,0.138707542,0.702721459,0.21166516,0.027249401,2.517250232,2.104751745
800019543,0,1472.009709,PEQUE¥A,POR MENOR,VALLE,OTRAS,0.000238146,0.000224658,0.000628118,0.000349754,0.029551291,0.027877626,0.07794272,0.043400657,0.642331886,0,0.642331886,0.010116991,0.897599219,0.942453813,0.300121927,0.015750411,1.397407225,1.467238095,0.010724376,0.940218758,0.047547492,0.951487627,0.999035119,0.318140094,0.379141133,1.060036158,0.022909989,2.031455854,0.576891292,0.300121927,0.023545841,0.042965569,0.556827586,0.943364047
800022002,0,8953.545631,MEDIANA,POR MAYOR,BOGOTA D.C.,CAPITAL,-0.052603583,-0.06771383,-0.750911702,-0.074425155,0.002591018,0.003335282,0.036986565,0.003665852,0.909824511,0,0.909824511,0.132405198,0.244259065,1,0.090175489,0.145528282,0.268468328,1.099113058,0.102859161,0.086893831,0.58709839,0.189752992,0.776851382,0.070052954,0.070052954,0.776851382,0.313858238,0.579000832,-1.577681247,0.090175489,0.206434615,0.007398905,0.099113058,1.287247501
800022738,0,2305.928155,PEQUE¥A,POR MENOR,SANTANDER,OTRAS,-0.013524262,-0.021751056,-0.054226318,-0.036319328,0.018277183,0.029395175,0.073283436,0.049083272,0.598883773,0,0.598883773,0.085235707,0.384562554,0.657165031,0.058281258,0.142324288,0.642132198,1.097316475,0.052997426,0.186021051,0.169497388,0.239111357,0.408608746,0.036237825,0.249404016,0.621774937,0.245010167,1.105425641,-0.616066669,0.058281258,0.181498896,0.062275018,0.669773076,1.608298986
800022862,0,2956.565049,PEQUE¥A,POR MAYOR,ANTIOQUIA,OTRAS,0.002494022,0.033913145,0.122379842,0.046913533,0.003855822,0.052430581,0.189202336,0.072529511,0.722886184,0,0.722886184,0.092421372,0.984513037,0.984566119,0.261679935,0.127850517,1.361919841,1.361993272,0.006796803,0.040479482,3.90E-06,0.072402529,0.072406433,0.019244325,0.020379355,0.073541463,0.324382769,3.44659178,0.909388358,0.261679935,0.061315038,0.107463397,0.383343633,13.59777137
800022961,0,6120.279612,MEDIANA,POR MAYOR,BOGOTA D.C.,CAPITAL,0.024942825,0.01121449,0.011749407,0.246325612,0.342620461,0.154044854,0.16139259,3.383586008,0.045527099,0,0.045527099,0.014208552,0.442865747,0.574362379,0.52883528,0.31209,9.727519689,12.61583535,0.031602099,0.376137017,0.292469599,0.985004453,1.277474052,1.176214483,2.122900821,2.22416039,0.066897501,2.085125301,1.870772067,0.52883528,1.076592743,0.154044854,20.96494028,0.449607863
800023002,0,4440.972816,PEQUE¥A,POR MAYOR,ATLANTICO,OTRAS,-0.094813272,-0.15535843,-0.483253667,-0.228968044,0.037033348,0.06068183,0.188755234,0.08943319,0.678515776,0,0.678515776,0.069596496,0.497424257,0.946842836,0.26832706,0.102571669,0.733106399,1.395461786,0.042473855,0.233653612,0.274274438,0.303571692,0.577846129,0.163756589,0.196197729,0.610287269,0.333953221,2.386850527,-0.868953175,0.26832706,0.109630261,0.090569889,0.473805084,1.638572604
800023449,0,1796.770874,PEQUE¥A,POR MENOR,BOGOTA D.C.,CAPITAL,0.050439908,0.056073718,0.075885639,0.214779264,0.015798286,0.017562852,0.023768144,0.067271023,0.261076029,0,0.261076029,0.099754297,0.201807839,0.617090178,0.356014148,0.38208907,0.77298494,2.363641652,0.089731835,0.091800071,0.373558307,0.181531906,0.555090213,0.320244879,0.664683184,0.899528518,1.226970817,2.482222176,-0.728994562,0.356014148,0.170824994,0.036375311,2.830301855,1.111693493
800024238,0,1935.912621,PEQUE¥A,POR MAYOR,BOGOTA D.C.,CAPITAL,0.105041755,0.173917049,0.514507375,0.262725032,0.0552957,0.091552783,0.270845109,0.13830276,0.104311181,0.557662471,0.661973652,0.385629294,0.722577349,0.892536123,0.788224942,3.696912369,6.927132312,8.556476096,0.232910908,0.202783359,0.102651051,0.436419508,0.539070559,0.476069091,0.204159863,0.603976181,3.483361387,6.52698869,5.584753376,0.788224942,0.184730856,0.13664582,0.510634142,1.655694431
800024389,0,2710.250485,PEQUE¥A,POR MENOR,BOGOTA D.C.,CAPITAL,0.259869757,0.205727001,0.325860076,0.55803297,0.090253162,0.0714493,0.1131717,0.193805699,0.3686646,0,0.3686646,0.233116986,0.414105569,0.558736929,0.190072329,0.632328099,1.123258293,1.515569786,0.294468173,0.228620739,0.182695106,0.523088913,0.705784018,0.240095124,0.797488787,1.263177681,0.731940061,1.300207511,0.142675428,0.190072329,0.141185436,0.113331547,1.712492602,0.791654266
800025833,0,15397.67961,MEDIANA,POR MENOR,BOGOTA D.C.,CAPITAL,0.166489722,0.197509118,0.517012229,0.319604492,0.064802892,0.076876589,0.201236971,0.124399843,0.617979794,0,0.617979794,0.275077455,0.655075185,0.843147828,0.225168035,0.445123704,1.060026868,1.364361484,0.23187572,0.318482639,0.158535274,0.552193674,0.710728947,0.189804723,0.322022794,0.842947018,1.279996696,3.048210814,0.172613123,0.225168035,0.212023112,0.139820655,0.618175886,1.18631418
800026042,0,10678.57476,MEDIANA,POR MAYOR,ANTIOQUIA,OTRAS,0.001088076,0.002572223,0.00997632,0.003465828,0.017856068,0.042211956,0.163718267,0.056876619,0.742167101,0,0.742167101,0.010607101,0.793903328,0.992526818,0.250359718,0.014292065,1.069709675,1.337336049,0.004486907,0.331303042,0.084019668,0.33582883,0.419848498,0.105904596,0.109065824,0.423009727,0.062331078,4.665256984,0.304020384,0.250359718,0.093906079,0.070913452,0.347405455,2.364011834
800026509,0,17126.10097,MEDIANA,POR MAYOR,ANTIOQUIA,OTRAS,-0.00526865,-0.00474846,-0.018526291,-0.006384993,-0.008355271,-0.007530329,-0.029379854,-0.010125619,0.61685176,0.126838968,0.743690728,0.01245863,0.384404016,0.698441481,0.081589721,0.020197121,0.623170819,1.132267955,0.013823463,0.407338444,0.348440024,0.426515177,0.774955202,0.090527811,0.284387753,1.109549222,0.063315084,1.929031952,-1.20582494,0.081589721,0.100992754,-0.005457832,0.344644974,0.901266911
800026845,0,8732.528155,MEDIANA,POR MAYOR,CUNDINAMARCA,CAPITAL,-0.006722829,-0.028164531,-0.073543974,-0.04564471,0.013148763,0.05508525,0.143840075,0.089273643,0.617038226,0,0.617038226,0.052810243,0.720220109,0.773162221,0.156123995,0.085586664,1.167221216,1.253021593,0.012605722,0.154284855,0.012637199,0.171915408,0.184552607,0.037266552,0.091412373,0.238698428,0.041389858,0.564470193,0.080868469,0.156123995,0,0.091362671,0.620645136,4.189386617
800026934,0,2107.163107,PEQUE¥A,POR MENOR,BOGOTA D.C.,CAPITAL,0.051540121,0.127432805,0.265491858,0.245057252,0.021888673,0.054119683,0.112752247,0.104073835,0.52001238,0,0.52001238,0.194154933,0.516673262,0.887074444,0.367062064,0.373365982,0.993578771,1.705871779,0.078525846,0.129337997,0.149808535,0.208968189,0.358776724,0.148458031,0.194130704,0.404449397,0.154275042,0.41054733,-0.002653255,0.367062064,0.157534723,0.101398068,0.923031139,2.472497193
800026959,0,6439.71068,MEDIANA,POR MAYOR,BOGOTA D.C.,CAPITAL,0,0,0,0,-0.001723651,-0.000190048,-0.000750541,-0.000254488,0.448822442,0.297962956,0.746785398,8.84E-05,0.287869948,0.287869948,-0.160952494,0.000196998,0.641389381,0.641389381,0.000801904,2.550066505,0,2.610854413,2.610854413,-1.459768661,2.296545597,9.069562252,0.002509468,8.128198183,-4.610351789,-0.160952494,0.000919407,2.16E-05,0.339072782,0.110258905
800027063,0,3472.495146,PEQUE¥A,POR MENOR,BOGOTA D.C.,CAPITAL,-0.005068229,-0.00769502,-0.011868993,-0.021881347,0.03145026,0.047750489,0.073651555,0.135781968,0.351670323,0,0.351670323,0.080873027,0.599119562,0.803370531,0.451700209,0.229968301,1.703639809,2.284442216,0.053266004,0.341336573,0.134527337,0.394602577,0.529129913,0.297506671,0.427014202,0.658637444,0.13173483,0.975911462,0.403072381,0.451700209,0.54093232,0.047750489,1.843572333,1.518285984
800027072,0,4189.427184,PEQUE¥A,POR MAYOR,VALLE,OTRAS,-0.091229926,-0.170837744,-0.237372101,-0.609491341,0.032244639,0.060381517,0.083897664,0.21542085,0.280295605,0,0.280295605,0.094837606,0.692287952,0.831897168,0.551601563,0.338348531,2.469849473,2.967927978,0.050644709,0.318066206,0.074553422,0.369692184,0.444245606,0.294563535,0.384332977,0.534015048,0.341657548,2.487384564,1.477604658,0.551601563,0.433847882,0.098722163,2.567662077,1.872606408
800027664,0,14550.37476,MEDIANA,POR MAYOR,BOGOTA D.C.,CAPITAL,-0.019634532,-0.021901704,-0.053504177,-0.03708041,0.020529968,0.022900535,0.055944243,0.038771468,0.59065431,0,0.59065431,0.00094758,0.524554155,0.981241807,0.390587497,0.001604289,0.888089947,1.661279348,0.00084949,0.469405039,0.40941328,0.47025453,0.87966781,0.350155533,0.366971957,0.896484234,0.003852354,2.132557185,-0.268727947,0.390587497,0.066454422,0.037952329,0.693037675,1.115468585
800027847,0,2892.16699,PEQUE¥A,POR MAYOR,BOGOTA D.C.,CAPITAL,-0.034377017,-0.059337447,-0.098113257,-0.150139744,-0.005118456,-0.00883486,-0.014608261,-0.022354579,0.395214787,0,0.395214787,0.017194199,0.687989942,0.846386612,0.451171825,0.043505962,1.740800103,2.141586398,0.009961421,0.388624015,0.091766757,0.398585436,0.490352192,0.261385389,0.350380962,0.579347765,0.04220696,1.688823275,0.718681286,0.451171825,0,0.002495168,1.530269698,1.72607898
800027927,0,18140.20194,MEDIANA,POR MENOR,BOGOTA D.C.,CAPITAL,-0.043979503,-0.148817773,-0.40588177,-0.234970365,0.064014353,0.216611668,0.590781096,0.342011049,0.633346989,0,0.633346989,0.109013221,0.809375082,1,0.366653011,0.172122428,1.277933102,1.578913325,0.032216228,0.206975053,0.056334596,0.239191281,0.295525877,0.108355453,0.108355453,0.295525877,0.157101757,1.166411243,0.253678611,0.366653011,0,0.331259934,0.578913325,3.383798438
800028475,0,773.6349515,PEQUE¥A,POR MENOR,VALLE,OTRAS,0.091777452,0.122193584,0.586219079,0.154371282,0.030967852,0.041230964,0.197803984,0.052088469,0.777021414,0.014535038,0.791556452,0.157998763,0.451083979,0.990825945,0.21380453,0.203339007,0.580529662,1.275159122,0.118670091,0.22013115,0.405390696,0.338801242,0.744191938,0.160584822,0.156558282,0.751082409,0.325766985,0.93005961,-0.672028399,0.21380453,0.089447406,0.06656308,0.263333774,1.331411824
800028768,0,3236.891262,PEQUE¥A,POR MAYOR,BOGOTA D.C.,CAPITAL,0.003553117,0.009909984,0.029066204,0.015036662,0.000999078,0.002786525,0.008172939,0.004228062,0.659054772,0,0.659054772,0.04866433,0.276620073,0.572589934,-0.086464838,0.073839584,0.419722434,0.868804777,0.01744807,0.081731067,0.106116794,0.099179137,0.20529593,-0.031001033,0.122242225,0.358539189,0.111311554,0.632722367,-0.87475571,-0.086464838,0,0.014089349,0.517324571,2.789095395
800029046,0,1897.902913,PEQUE¥A,POR MAYOR,BOGOTA D.C.,CAPITAL,-0.009979759,-0.00928626,-0.031734722,-0.013127709,0.015134524,0.014082817,0.048126401,0.019908459,0.248827907,0.458550647,0.707378554,0.001230366,0.087153351,0.966688664,0.717860757,0.004944644,0.350255533,3.884968834,0.001322249,0.090744783,0.945219133,0.093661976,1.038881109,0.771470699,0.314474456,1.074680139,0.010461178,0.741021031,-1.374637287,0.717860757,0.055649699,0.021019482,0.413670225,0.930509426
